EMG сад цент,DISCRETE,X40,
EMG сад низ,DISCRETE,X41,
EMG сад верх,DISCRETE,X42,
EMG дом вниз,DISCRETE,X43,
EMG дом вверху,DISCRETE,X44,
EMG разгрузка,DISCRETE,X45,
EMG точка А,DISCRETE,X46,
PLC\MAN,DISCRETE,X47,
EMG Turbo,DISCRETE,X50,
LED Heating,DISCRETE,X51,
Turbo Ready,DISCRETE,X52,
B-нагрев,DISCRETE,X53,
Ц-шиб открыт,DISCRETE,X54,
Ц-шиб закрыт,DISCRETE,X55,
В-шиб закрыть,DISCRETE,X56,
В-шиб открыть,DISCRETE,X57,
Ц-телега от,DISCRETE,X60,
Ц-телега А,DISCRETE,X61,
Ц-телега под,DISCRETE,X62,
В-телегу под,DISCRETE,X63,
В-телегу от,DISCRETE,X64,
24V,DISCRETE,X67,
Ц-под up,DISCRETE,X70,
Ц-под down,DISCRETE,X71,
В-под вниз,DISCRETE,X72,
В-под вверх,DISCRETE,X73,
Ц-под2 вверху,DISCRETE,X74,
Ц-под2 внизу,DISCRETE,X75,
Ц-под открыт,DISCRETE,X100,
Ц-под закрыт,DISCRETE,X101,
В-под закр,DISCRETE,X102,
В-под откр,DISCRETE,X103,
Ц-цепь вверху,DISCRETE,X104,
Ц-цепь внизу,DISCRETE,X105,
В-цепь вниз,DISCRETE,X106,
В-цепь вверх,DISCRETE,X107,
Ц-цепь под зацеп,DISCRETE,X110,
Ц-дом вверху,DISCRETE,X112,
Ц-дом внизу,DISCRETE,X113,
В-дом вниз,DISCRETE,X114,
В-дом вверх,DISCRETE,X115,
Ц-клап открыт,DISCRETE,X116,
В-клап открыть,DISCRETE,X117,
БКВ К1,DISCRETE,X120,
БКВ К2,DISCRETE,X121,
БКВ К3,DISCRETE,X122,
БКВ К4,DISCRETE,X123,
Воздух <N,DISCRETE,X124,
Вода <N,DISCRETE,X125,
AutoStart,DISCRETE,X126,
But RST Error,DISCRETE,X127,
Heating ON,DISCRETE,Y20,
Y-шиб закрыть,DISCRETE,Y21,
Y-шиб открыть,DISCRETE,Y22,
Y-тел под печь,DISCRETE,Y23,
Y-тел от печи,DISCRETE,Y24,
rst1,DISCRETE,Y25,
rst2,DISCRETE,Y26,
Y-ПОД вниз,DISCRETE,Y30,
Y-Под вверх,DISCRETE,Y31,
Y-ПОД закрыть,DISCRETE,Y32,
Y-ПОД открыть,DISCRETE,Y33,
rst цепь,DISCRETE,Y34,
Y-цепь вниз,DISCRETE,Y35,
Y-цепь вверх,DISCRETE,Y36,
Y-дом вниз,DISCRETE,Y40,
Y-дом вверх,DISCRETE,Y41,
Y-клоп откр,DISCRETE,Y42,
LED Emerg,DISCRETE,Y43,
AAAARRRR,DISCRETE,Y44,
Led AutoCicle,DISCRETE,Y45,
Led Error,DISCRETE,Y46,
Control,DISCRETE,S1,
PLC\Manual,DISCRETE,S2,
Control Bits,DISCRETE,S3,
Temp T1,BCD_INT_16,V400,
Temp T2,BCD_INT_16,V401,
Temp T3,BCD_INT_16,V402,
Temp T4,BCD_INT_16,V403,
Temp T5,BCD_INT_16,V404,
Temp T6,BCD_INT_16,V405,
Temp T7,BCD_INT_16,V406,
Turbo Amp,BCD_INT_16,V430,
Turbo Speed setU,BCD_INT_16,V450,
